date,AAPL,GOOG,YHOO
2015-12-10,116.17,749.46,34.63
2015-12-11,113.18,738.87,32.91
2015-12-14,112.48,747.77,32.59
2015-12-15,110.49,743.4,33.03
2015-12-16,111.34,758.09,33.78
2015-12-17,108.98,749.43,33.23
2015-12-18,106.03,739.31,32.95
2015-12-21,107.33,747.77,32.96
2015-12-22,107.23,750.0,34.19
2015-12-23,108.61,750.31,34.45
2015-12-24,108.03,748.4,34.11
2015-12-28,106.82,762.51,33.6
2015-12-29,108.74,776.6,34.04
2015-12-30,107.32,771.0,33.37
2015-12-31,105.26,758.88,33.26
